sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2022-08-09_13:54:51_184 EDT
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,916876618,-0.011624,-0.781176,-143.533920
2,916893285,0.003426,-0.781461,-143.576675
3,916909952,0.006065,-0.780913,-143.584091
4,916926619,0.012863,-0.781457,-143.576019
5,916943286,0.017804,-0.781088,-143.539795
6,916959953,0.020354,-0.781546,-143.534348
7,916976620,0.022433,-0.780102,-143.563019
8,916993287,0.021256,-0.780971,-143.571152
9,917009954,0.021494,-0.779964,-143.556366
10,917026621,0.020801,-0.781250,-143.542465
11,917043288,0.021161,-0.782284,-143.533173
12,917059955,0.018921,-0.783592,-143.515915
13,917076622,0.017313,-0.782747,-143.505280
14,917093289,0.017963,-0.782763,-143.517105
15,917109956,0.018503,-0.782323,-143.524200
16,917126623,0.019198,-0.781523,-143.520569
17,917143290,0.018334,-0.781523,-143.521408
18,917159957,0.019535,-0.780528,-143.547836
19,917176624,0.020289,-0.779973,-143.533752
20,917193291,0.020211,-0.779433,-143.531693
21,917209958,0.020923,-0.779364,-143.526520
22,917226625,0.021325,-0.779265,-143.511963
23,917243292,0.020790,-0.779436,-143.512680
24,917259959,0.020606,-0.780374,-143.513626
25,917276626,0.021428,-0.779775,-143.507263
26,917293293,0.020703,-0.779638,-143.507782
27,917309960,0.019815,-0.780327,-143.519394
28,917326627,0.019623,-0.780766,-143.519928
29,917343294,0.020791,-0.780078,-143.518921
30,917359961,0.019925,-0.780753,-143.517227
31,917376628,0.019775,-0.779804,-143.518402
32,917393295,0.020322,-0.779952,-143.524658
33,917409962,0.020567,-0.781204,-143.526001
34,917426629,0.019227,-0.781744,-143.522736
35,917443296,0.019057,-0.782756,-143.518799
36,917459963,0.019195,-0.783133,-143.524414
37,917476630,0.019262,-0.782690,-143.521439
38,917493297,0.018039,-0.782533,-143.520493
39,917509964,0.019038,-0.782802,-143.517334
40,917526631,0.018447,-0.783663,-143.517334
41,917543298,0.017540,-0.784131,-143.517532
42,917559965,0.015878,-0.785321,-143.510239
43,917576632,0.016063,-0.784713,-143.512115
44,917593299,0.014535,-0.784557,-143.515564
45,917609966,0.014604,-0.785035,-143.523270
46,917626633,0.014323,-0.784974,-143.523239
47,917643300,0.013197,-0.787341,-143.523193
48,917659967,0.012240,-0.788243,-143.508835
49,917676634,0.012112,-0.787838,-143.503845
50,917693301,0.010968,-0.787070,-143.499817
51,917709968,0.009893,-0.787089,-143.505112
52,917726635,0.010288,-0.786557,-143.502136
53,917743302,0.011496,-0.785268,-143.500153
54,917759969,0.012322,-0.785487,-143.499222
55,917776636,0.012471,-0.786455,-143.498901
56,917793303,0.013280,-0.786739,-143.498978
57,917809970,0.012388,-0.787475,-143.496262
58,917826637,0.013224,-0.787099,-143.494858
59,917843304,0.012163,-0.787942,-143.498581
60,917859971,0.010972,-0.788327,-143.498901
61,917876638,0.011870,-0.788282,-143.499634
62,917893305,0.011684,-0.788258,-143.495071
63,917909972,0.013146,-0.788011,-143.488998
64,917926639,0.013078,-0.788234,-143.489197
65,917943306,0.013771,-0.787817,-143.495148
66,917959973,0.013281,-0.786858,-143.482727
67,917976640,0.013739,-0.786845,-143.485840
68,917993307,0.013498,-0.786955,-143.494095
69,918009974,0.013767,-0.787302,-143.489166
70,918026641,0.013338,-0.787011,-143.489868
71,918043308,0.013585,-0.787957,-143.485413
72,918059975,0.013011,-0.788170,-143.474945
73,918076642,0.013096,-0.788242,-143.480774
74,918093309,0.014811,-0.787590,-143.495636
75,918109976,0.015445,-0.788182,-143.488739
76,918126643,0.016493,-0.787335,-143.487564
77,918143310,0.015858,-0.787639,-143.480026
78,918159977,0.014448,-0.787573,-143.480789
79,918176644,0.013894,-0.787660,-143.483536
80,918193311,0.014197,-0.787450,-143.478760
81,918209978,0.015734,-0.787189,-143.489151
82,918226645,0.016105,-0.787133,-143.489502
83,918243312,0.016113,-0.786985,-143.488663
84,918259979,0.017486,-0.787633,-143.486710
85,918276646,0.017047,-0.787211,-143.492233
86,918293313,0.017950,-0.788461,-143.501083
87,918309980,0.018255,-0.788022,-143.515762
88,918326647,0.017741,-0.788748,-143.514313
89,918343314,0.017951,-0.789929,-143.505524
90,918359981,0.017093,-0.791206,-143.507950
91,918376648,0.015640,-0.792139,-143.504578
92,918393315,0.013905,-0.793027,-143.511139
93,918409982,0.014808,-0.793339,-143.501266
94,918426649,0.015675,-0.794150,-143.498856
95,918443316,0.015878,-0.793722,-143.500183
96,918459983,0.015118,-0.792864,-143.498123
97,918476650,0.016545,-0.792846,-143.499237
98,918493317,0.017366,-0.793058,-143.500183
99,918509984,0.018651,-0.793720,-143.501099
100,918526651,0.019231,-0.793839,-143.512146
101,918543318,0.019773,-0.793364,-143.515945
102,918559985,0.018896,-0.794427,-143.507324
103,918576652,0.018015,-0.795047,-143.505066
104,918593319,0.018784,-0.794194,-143.514175
105,918609986,0.017831,-0.794229,-143.500259
106,918626653,0.018737,-0.793884,-143.504135
107,918643320,0.018108,-0.794154,-143.510422
108,918659987,0.017564,-0.793753,-143.517838
109,918676654,0.018290,-0.793703,-143.517776
110,918693321,0.020269,-0.793393,-143.509995
111,918709988,0.019850,-0.793790,-143.509735
112,918726655,0.019634,-0.793750,-143.511490
113,918743322,0.018292,-0.793471,-143.512146
114,918759989,-0.081021,-0.683209,-143.750671
115,918776656,-0.135507,-0.556814,-143.778091
116,918793323,-0.147103,-0.547343,-143.033508
117,918809990,-0.110056,-0.583219,-142.083939
118,918826657,-0.113182,-0.591245,-142.567780
119,918843324,-0.118641,-0.584257,-142.652802
120,918859991,-0.137574,-0.560959,-142.860626
121,918876658,-0.203148,-0.449863,-142.886337
122,918893325,0.309849,0.199501,-143.485443
123,918909992,-0.114270,0.174799,-143.754181
124,918926659,-0.033216,0.254981,-144.198532
125,918943326,0.100860,0.309730,-145.092331
126,918959993,0.130923,0.402591,-145.951477
127,918976660,0.234933,0.553462,-146.716843
128,918993327,0.263737,0.688284,-147.628754
129,919009994,0.231639,0.880996,-148.806091
130,919026661,0.204678,1.129527,-150.191269
131,919043328,0.007210,1.433862,-151.626526
132,919059995,0.564879,1.913156,-152.601395
133,919076662,1.560029,2.814203,-153.901001
134,919093329,2.468593,4.213053,-155.337921
135,919109996,1.707500,5.625665,-156.889328
136,919126663,1.169603,7.634937,-158.804459
137,919143330,0.944653,9.701327,-160.840530
138,919159997,1.025709,12.472924,-163.124420
139,919176664,1.035553,15.838256,-166.012070
140,919193331,0.950173,20.354200,-169.638962
141,919209998,0.540932,26.095936,-174.306122
142,919226665,-0.388487,33.341591,179.611374
143,919243332,-2.204739,41.086094,172.785995
144,919259999,-5.022643,49.053284,165.552185
145,919276666,-9.155641,57.192375,157.778442
146,919293333,-15.848911,65.443573,148.148438
147,919310000,-29.671028,73.468163,131.812073
148,919326667,-61.350052,78.944389,98.130379
149,919343334,-108.478134,78.214417,49.503677
150,919360001,-136.261154,73.181915,20.908325
151,919376668,-151.004822,67.677994,5.817991
152,919393335,-161.062820,62.784424,-4.237666
153,919410002,-168.400742,58.637264,-11.364619
154,919426669,-174.877228,54.662998,-17.078403
155,919443336,-179.897949,50.440533,-21.103395
156,919460003,174.887268,47.089352,-25.159184
157,919476670,170.916489,44.518742,-28.403320
158,919493337,167.503937,42.908916,-31.573406
159,919510004,164.544647,41.539448,-33.671532
160,919526671,162.181564,40.539749,-35.453743
161,919543338,160.554871,39.660961,-36.655239
162,919560005,159.573639,39.040443,-37.585064
163,919576672,158.576797,38.765339,-38.274166
164,919593339,157.522705,39.002171,-38.792515
165,919610006,156.353607,39.760944,-39.154964
166,919626673,154.943787,40.864788,-39.677307
167,919643340,154.512329,41.958298,-39.352955
168,919660007,155.046417,42.806217,-37.469746
169,919676674,156.288696,43.797951,-34.706806
170,919693341,158.086853,45.484833,-31.319328
171,919710008,160.783310,48.243462,-27.050892
172,919726675,163.715546,52.154869,-22.764679
173,919743342,166.650253,56.320793,-18.792665
174,919760009,173.057495,59.063038,-11.132188
175,919776676,-177.227768,60.131626,0.289568
176,919793343,-165.945984,59.663956,13.698572
177,919810010,-155.348358,58.527599,26.737267
178,919826677,-146.234680,57.282280,38.328812
179,919843344,-138.611588,55.514393,48.233360
180,919860011,-133.174957,53.533772,55.376942
181,919876678,-129.684341,51.243309,59.980125
182,919893345,-127.004677,48.353836,63.078541
183,919910012,-124.944778,44.851303,65.230194
184,919926679,-123.624031,41.621056,66.727905
185,919943346,-122.798294,39.440075,68.012726
186,919960013,-121.901695,38.697838,69.736969
187,919976680,-121.100838,39.901810,72.592133
188,919993347,-120.247452,40.582520,74.794395
189,920010014,-119.869148,40.094101,76.990753
190,920026681,-119.851608,39.738235,78.483002
191,920043348,-120.152756,39.369766,79.508972
192,920060015,-120.699310,39.631550,80.613777
193,920076682,-121.348396,40.477028,82.066200
194,920093349,-122.320221,41.141201,83.322998
195,920110016,-123.637558,41.433029,84.422150
196,920126683,-125.072716,41.423000,85.352783
197,920143350,-126.393379,40.894897,86.243095
198,920160017,-127.643562,40.081608,87.347748
199,920176684,-128.979004,39.277794,89.134712
200,920193351,-130.530334,38.347202,91.063934
201,920210018,-132.470413,37.300850,92.718727
