sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2022-08-09_13:56:04_440 EDT
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,990135966,-0.239544,-0.706783,138.036560
2,990152633,-0.193519,-0.706128,138.067307
3,990169300,-0.148146,-0.677523,137.994019
4,990185967,-0.134169,-0.651744,137.982147
5,990202634,-0.135539,-0.634414,137.994675
6,990219301,-0.135533,-0.608673,137.965469
7,990235968,-0.136987,-0.591970,137.997437
8,990252635,-0.140110,-0.577786,138.023987
9,990269302,-0.139674,-0.565556,137.983124
10,990285969,-0.139551,-0.554893,137.979248
11,990302636,-0.140487,-0.545548,138.036194
12,990319303,-0.140223,-0.536787,138.011932
13,990335970,-0.140296,-0.527772,138.020721
14,990352637,-0.142316,-0.520982,138.063843
15,990369304,-0.142649,-0.514686,138.053391
16,990385971,-0.142962,-0.506732,138.056122
17,990402638,-0.142472,-0.499450,138.022614
18,990419305,-0.143088,-0.493045,138.015335
19,990435972,-0.144773,-0.487366,138.018097
20,990452639,-0.145150,-0.481465,138.033966
21,990469306,-0.145020,-0.474922,138.078156
22,990485973,-0.145921,-0.469658,138.068695
23,990502640,-0.145781,-0.464233,138.070312
24,990519307,-0.147138,-0.459044,138.079529
25,990535974,-0.147127,-0.453805,138.080902
26,990552641,-0.149167,-0.448720,138.096176
27,990569308,-0.149631,-0.444026,138.133499
28,990585975,-0.149912,-0.438733,138.146515
29,990602642,-0.150961,-0.434220,138.123550
30,990619309,-0.151405,-0.430274,138.132736
31,990635976,-0.152540,-0.426227,138.149719
32,990652643,-0.153774,-0.422197,138.143112
33,990669310,-0.154816,-0.417168,138.146759
34,990685977,-0.155224,-0.411553,138.158173
35,990702644,-0.155629,-0.406835,138.163528
36,990719311,-0.155911,-0.402557,138.192780
37,990735978,-0.157234,-0.398035,138.191513
38,990752645,-0.159299,-0.393055,138.177811
39,990769312,-0.161413,-0.388354,138.183731
40,990785979,-0.162441,-0.383551,138.185791
41,990802646,-0.162886,-0.378000,138.187775
42,990819313,-0.165073,-0.373108,138.187714
43,990835980,-0.166414,-0.369526,138.192932
44,990852647,-0.167426,-0.365960,138.204117
45,990869314,-0.168376,-0.362011,138.203934
46,990885981,-0.168617,-0.358212,138.245499
47,990902648,-0.168391,-0.353464,138.255920
48,990919315,-0.167678,-0.348325,138.261688
49,990935982,-0.168907,-0.344337,138.248428
50,990952649,-0.170320,-0.339936,138.268707
51,990969316,-0.171868,-0.335821,138.290680
52,990985983,-0.172964,-0.331920,138.338257
53,991002650,-0.171713,-0.327634,138.344086
54,991019317,-0.171843,-0.323909,138.326523
55,991035984,-0.172237,-0.320489,138.325027
56,991052651,-0.173275,-0.316932,138.333923
57,991069318,-0.175563,-0.312435,138.336395
58,991085985,-0.175445,-0.308348,138.359085
59,991102652,-0.175465,-0.304129,138.365906
60,991119319,-0.176818,-0.299959,138.371017
61,991135986,-0.179133,-0.295805,138.373886
62,991152653,-0.180471,-0.292793,138.380478
63,991169320,-0.180666,-0.288464,138.381470
64,991185987,-0.182543,-0.285134,138.377457
65,991202654,-0.184059,-0.283446,138.388519
66,991219321,-0.185171,-0.279570,138.391937
67,991235988,-0.185646,-0.274576,138.398254
68,991252655,-0.185647,-0.271300,138.425888
69,991269322,-0.185663,-0.268909,138.423111
70,991285989,-0.186945,-0.264432,138.420883
71,991302656,-0.187563,-0.260130,138.421646
72,991319323,-0.187595,-0.256186,138.438538
73,991335990,-0.188728,-0.253368,138.460648
74,991352657,-0.190984,-0.251245,138.491348
75,991369324,-0.191214,-0.248348,138.490936
76,991385991,-0.190046,-0.243302,138.469757
77,991402658,-0.191089,-0.240289,138.482010
78,991419325,-0.191641,-0.237884,138.490814
79,991435992,-0.191304,-0.234390,138.492599
80,991452659,-0.192163,-0.230130,138.499115
81,991469326,-0.194666,-0.226874,138.512863
82,991485993,-0.196227,-0.223422,138.510956
83,991502660,-0.197143,-0.219315,138.497299
84,991519327,-0.197521,-0.216368,138.510132
85,991535994,-0.196913,-0.213417,138.532593
86,991552661,-0.198170,-0.210268,138.548645
87,991569328,-0.197507,-0.207416,138.556000
88,991585995,-0.198033,-0.205158,138.553513
89,991602662,-0.198917,-0.201476,138.548447
90,991619329,-0.199003,-0.197330,138.559967
91,991635996,-0.198724,-0.193574,138.570023
92,991652663,-0.199080,-0.188459,138.576706
93,991669330,-0.199763,-0.185153,138.585968
94,991685997,-0.200970,-0.182485,138.610062
95,991702664,-0.202030,-0.178515,138.604630
96,991719331,-0.203033,-0.175902,138.613541
97,991735998,-0.201984,-0.173135,138.624542
98,991752665,-0.203523,-0.170686,138.643936
99,991769332,-0.205680,-0.166585,138.639664
100,991785999,-0.205167,-0.162756,138.651443
101,991802666,-0.205521,-0.160428,138.658875
