sep=,
DeviceTag:,Foot_01,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2023-02-16 09:14:57.000 -0500,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1030770120, 179.60569763183594, 2.0301594734191895, 112.44486999511719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1030786787, 179.60133361816406, 2.0253913402557373, 112.44212341308594, -0.3465595245361328, 0.07688845694065094, -9.998188972473145, -0.10001758486032486, -0.1590164303779602, -0.3843953609466553, 
2, 1030803454, 179.59239196777344, 2.022129774093628, 112.44605255126953, -0.34610891342163086, 0.06432881951332092, -10.000921249389648, -0.1425987035036087, -0.30982398986816406, -0.46800804138183594, 
3, 1030820121, 179.58848571777344, 2.0206642150878906, 112.44818878173828, -0.347943514585495, 0.0747641921043396, -10.01187515258789, -0.258957177400589, -0.3582320213317871, -0.3958699107170105, 
4, 1030836788, 179.5870819091797, 2.0198585987091064, 112.4554214477539, -0.35814642906188965, 0.0699792206287384, -10.005419731140137, -0.03853430598974228, -0.24913473427295685, -0.3926298916339874, 
5, 1030853455, 179.5859832763672, 2.024035930633545, 112.46076202392578, -0.32958683371543884, 0.0783153623342514, -9.999000549316406, -0.07787541300058365, -0.31553560495376587, -0.5237668752670288, 
6, 1030870122, 179.5838623046875, 2.0241966247558594, 112.46145629882812, -0.3515697717666626, 0.07663454860448837, -9.996203422546387, -0.06556850671768188, -0.3319149613380432, -0.4909825921058655, 
7, 1030886789, 179.5794677734375, 2.0245471000671387, 112.4702377319336, -0.3415561616420746, 0.062147654592990875, -10.01357364654541, -0.1902126967906952, -0.22298415005207062, -0.507310688495636, 
8, 1030903456, 179.57835388183594, 2.0246024131774902, 112.48309326171875, -0.3275698721408844, 0.07365556806325912, -9.99983024597168, -0.10989129543304443, -0.22129371762275696, -0.5040707588195801, 
9, 1030920123, 179.57736206054688, 2.024393081665039, 112.4860610961914, -0.35750988125801086, 0.06655679643154144, -10.00161075592041, -0.09507433325052261, -0.29258665442466736, -0.49178943037986755, 
10, 1030936790, 179.5768585205078, 2.0258781909942627, 112.49079132080078, -0.3519667387008667, 0.07319781184196472, -9.997004508972168, -0.09344793111085892, -0.2753749489784241, -0.4803149700164795, 
11, 1030953457, 179.57568359375, 2.028958797454834, 112.48672485351562, -0.3546132445335388, 0.07341910153627396, -10.001550674438477, -0.12044371664524078, -0.3204789161682129, -0.46720123291015625, 
12, 1030970124, 179.57510375976562, 2.0319788455963135, 112.48583221435547, -0.3390709459781647, 0.07192467898130417, -9.998785972595215, -0.07786259800195694, -0.27618172764778137, -0.46229639649391174, 
13, 1030986791, 179.57601928710938, 2.0334208011627197, 112.49453735351562, -0.34901636838912964, 0.06658898293972015, -9.987764358520508, 0.01470809243619442, -0.20315992832183838, -0.38938987255096436, 
14, 1031003458, 179.57464599609375, 2.0359439849853516, 112.48963165283203, -0.36154383420944214, 0.08112984150648117, -9.988639831542969, -0.1377066820859909, -0.25412920117378235, -0.44011586904525757, 
15, 1031020125, 179.57394409179688, 2.0386393070220947, 112.48076629638672, -0.34766098856925964, 0.07969219982624054, -10.002358436584473, -0.0754806250333786, -0.22371411323547363, -0.48851099610328674, 
16, 1031036792, 179.5738067626953, 2.0414042472839355, 112.47969055175781, -0.33368873596191406, 0.08356191962957382, -10.005104064941406, -0.022974589839577675, -0.23105214536190033, -0.4197024703025818, 
17, 1031053459, 179.57095336914062, 2.0448555946350098, 112.48817443847656, -0.3654347360134125, 0.06610261648893356, -9.991308212280273, -0.1696072816848755, -0.2976195514202118, -0.4237108826637268, 
18, 1031070126, 179.56993103027344, 2.0490565299987793, 112.51382446289062, -0.3562510311603546, 0.06475795805454254, -10.003191947937012, -0.08030861616134644, -0.310592383146286, -0.504928708076477, 
19, 1031086793, 179.5689239501953, 2.0529916286468506, 112.57511901855469, -0.3360919654369354, 0.06590592116117477, -9.993124961853027, -0.09013108164072037, -0.28522300720214844, -0.4524483382701874, 
20, 1031103460, 179.56680297851562, 2.0578126907348633, 112.58684539794922, -0.3671870827674866, 0.07062294334173203, -10.012264251708984, -0.16709725558757782, -0.35663124918937683, -0.47208043932914734, 
21, 1031120127, 179.565673828125, 2.0615415573120117, 112.55451965332031, -0.3371219038963318, 0.06933192908763885, -10.021437644958496, -0.10899484157562256, -0.2704957127571106, -0.42620810866355896, 
22, 1031136794, 179.56483459472656, 2.065162420272827, 112.5604248046875, -0.3589189648628235, 0.06585913151502609, -9.997563362121582, -0.09255148470401764, -0.28031817078590393, -0.3917974531650543, 
