sep=,
DeviceTag:,Foot_01,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2023-02-16 10:48:45.000 -0500,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2363359822, -1.2612615823745728, -0.10579659789800644, 93.31304168701172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2363376489, -1.2412631511688232, -0.12062764167785645, 93.29154205322266, 0.019339818507432938, -0.19596946239471436, 9.806428909301758, -0.22085829079151154, -0.30869701504707336, -0.522511899471283, 
2, 2363393156, -1.2194968461990356, -0.12502451241016388, 93.28375244140625, 0.027247123420238495, -0.21855275332927704, 9.799809455871582, -0.16020742058753967, -0.25033852458000183, -0.537034273147583, 
3, 2363409823, -1.2182643413543701, -0.131891131401062, 93.29206848144531, 0.027733856812119484, -0.18814024329185486, 9.787742614746094, -0.29767081141471863, -0.34493905305862427, -0.4626677930355072, 
4, 2363426490, -1.2091647386550903, -0.1362283080816269, 93.28205108642578, 0.0246722549200058, -0.21010218560695648, 9.795764923095703, -0.16894134879112244, -0.25197771191596985, -0.46525466442108154, 
5, 2363443157, -1.2048600912094116, -0.13845515251159668, 93.29051208496094, 0.023277534171938896, -0.20723405480384827, 9.797842025756836, -0.1171012595295906, -0.22788897156715393, -0.5325648784637451, 
6, 2363459824, -1.2042821645736694, -0.13958963751792908, 93.31104278564453, 0.021965065971016884, -0.20384381711483002, 9.789810180664062, -0.21432705223560333, -0.24146370589733124, -0.4305110573768616, 
7, 2363476491, -1.2032444477081299, -0.14060410857200623, 93.31485748291016, 0.026367375627160072, -0.19576159119606018, 9.792492866516113, -0.16102702915668488, -0.2981446087360382, -0.531181812286377, 
8, 2363493158, -1.2005469799041748, -0.14083170890808105, 93.31102752685547, 0.026649896055459976, -0.2064151018857956, 9.791351318359375, -0.09712335467338562, -0.24455004930496216, -0.4883701205253601, 
9, 2363509825, -1.199460506439209, -0.14065149426460266, 93.3034439086914, 0.012552487663924694, -0.20456978678703308, 9.782428741455078, -0.1450447291135788, -0.21989785134792328, -0.4746801257133484, 
