sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-08-15_19:17:27_000 EDT
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,563204205,112.04820251464844,72.29061889648438,-157.33952331542969,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,563212538,111.37660980224609,72.18113708496094,-157.84245300292969,-7.94105529785156,2.67385959625244,-0.14660234749317,-24.37861633300781,-11.39769268035889,17.27694511413574
2,563220871,110.15465545654297,72.14057159423828,-159.26162719726562,-7.76729059219360,2.67108440399170,-0.32329335808754,-27.29383850097656,-10.34301280975342,16.31737327575684
3,563229204,109.50698089599609,72.03707885742188,-159.72331237792969,-7.90288400650024,2.68981814384460,-0.39511165022850,-26.26985168457031,-10.96072483062744,15.72286319732666
4,563237537,108.46043395996094,71.97769165039062,-160.79740905761719,-8.10285282135010,2.88777756690979,-0.07705169916153,-31.07199859619141,-10.46921634674072,15.24826240539551
5,563245870,107.79749298095703,71.89046478271484,-161.20843505859375,-8.23876857757568,2.67851948738098,0.11442471295595,-33.94018554687500,-10.41804027557373,12.95911502838135
6,563254203,106.78341674804688,71.84486389160156,-162.19107055664062,-8.43715286254883,2.65773320198059,-0.04096883535385,-37.69224548339844,-8.93607616424561,11.84036350250244
7,563262536,105.93948364257812,71.74817657470703,-162.73976135253906,-9.19082355499268,3.04077625274658,0.41451412439346,-40.00589752197266,-15.60165977478027,15.18267440795898
8,563270869,104.66999816894531,71.72052764892578,-163.99874877929688,-9.19425010681152,1.74773633480072,-0.40298867225647,-40.57607269287109,-15.79215431213379,13.52507114410400
9,563279202,103.94337463378906,71.62332916259766,-164.46434020996094,-8.54720783233643,2.34058380126953,-1.07877051830292,-35.44525909423828,-13.27106094360352,13.89560031890869
10,563287535,102.87658691406250,71.56604003906250,-165.44383239746094,-9.05739498138428,2.64001464843750,-0.23721593618393,-41.43452072143555,-10.19557285308838,17.19878768920898
11,563295868,102.09309387207031,71.46143341064453,-165.92530822753906,-8.83909130096436,2.05291414260864,-0.23722924292088,-40.45134735107422,-13.10936164855957,17.01245498657227
12,563304201,101.46585845947266,71.31989288330078,-166.23927307128906,-8.72054576873779,1.92836356163025,-0.41922661662102,-40.86870193481445,-7.42318630218506,17.33507919311523
13,563312534,100.92311096191406,71.23246765136719,-166.45658874511719,-9.08137321472168,1.83961915969849,-0.39352425932884,-41.60189056396484,-2.96231675148010,15.91692924499512
14,563320867,100.46315002441406,71.10455322265625,-166.55682373046875,-9.14639663696289,1.85272204875946,-0.54924517869949,-45.11843490600586,-0.08765207976103,14.05626010894775
15,563329200,100.00376892089844,70.97216796875000,-166.62657165527344,-9.31637191772461,2.06258797645569,-0.27682450413704,-48.51649475097656,1.02578830718994,14.36796569824219
16,563337533,99.57320404052734,70.91725158691406,-166.66091918945312,-9.22413635253906,1.51980972290039,-0.34296199679375,-49.33533477783203,2.06700944900513,13.03233623504639
