sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-08-15_19:16:32_000 EDT
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,507854946,100.16767883300781,62.94874572753906,-13.18130683898926,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,507863279,100.42882537841797,63.22060775756836,-12.93824005126953,-6.78012371063232,3.01951074600220,-1.42448675632477,4.92112779617310,8.13894557952881,-36.99071502685547
2,507871612,101.13616943359375,63.52764511108398,-11.91778945922852,-6.46265220642090,2.53173661231995,-1.96338486671448,9.16679477691650,6.77652263641357,-36.07489776611328
3,507879945,101.45502471923828,63.76339721679688,-11.71990489959717,-6.32090806961060,2.61836361885071,-1.89505350589752,16.58974266052246,5.76940727233887,-32.33819580078125
4,507888278,102.20639038085938,64.00694274902344,-10.74171829223633,-6.15053462982178,2.58612418174744,-1.86444890499115,22.49728965759277,7.03441953659058,-28.60586738586426
5,507896611,103.13156127929688,64.19564056396484,-10.12625789642334,-6.19780158996582,2.70320868492126,-1.69081926345825,27.08467674255371,5.83265018463135,-24.07063484191895
6,507904944,103.49076080322266,64.33319854736328,-9.98500442504883,-5.96720170974731,2.85313868522644,-1.30340099334717,27.44830131530762,4.32390451431274,-20.28830909729004
7,507913277,104.21543884277344,64.44328308105469,-9.55993270874023,-5.58868741989136,2.63039803504944,-1.60404586791992,28.57887077331543,3.21096563339233,-17.92017364501953
8,507921610,104.47918701171875,64.53194427490234,-9.56961631774902,-5.58002042770386,2.97676277160645,-1.47624826431274,32.31042480468750,-2.15935873985291,-12.71420097351074
9,507929943,105.00199890136719,64.52287292480469,-9.41079044342041,-5.65910100936890,3.55766820907593,-1.06905436515808,34.26469802856445,-6.66964673995972,-5.96927595138550
10,507938276,105.04336547851562,64.53127288818359,-9.69608211517334,-5.77017498016357,3.92607378959656,-0.67976999282837,35.48384857177734,-13.52054405212402,0.31135427951813
11,507946609,104.94054412841797,64.51918792724609,-10.12900543212891,-5.69410848617554,4.11771297454834,-0.61853182315826,34.17836761474609,-20.24920845031738,4.65425443649292
12,507954942,104.76386260986328,64.35456848144531,-10.65555667877197,-5.59693336486816,4.33197450637817,-0.52708166837692,33.14686203002930,-27.54874610900879,8.26535606384277
13,507963275,104.27072906494141,64.12056732177734,-11.44634151458740,-5.40065860748291,4.20549440383911,-0.51492744684219,29.64804077148438,-33.42375183105469,9.86503219604492
14,507971608,103.78478240966797,64.10237121582031,-12.23456859588623,-5.08487796783447,3.90501809120178,-0.47196829319000,26.40274429321289,-38.57847976684570,9.59895229339600
15,507979941,103.21784210205078,64.09985351562500,-13.07569408416748,-4.76307296752930,3.65393519401550,-0.35284835100174,22.38102149963379,-41.83849334716797,8.05881786346436
16,507988274,102.42308807373047,63.89204788208008,-14.09671783447266,-4.34886455535889,3.20155000686646,-0.33547371625900,19.70580101013184,-45.62247848510742,5.48836040496826
17,507996607,101.60981750488281,63.72391891479492,-15.14494609832764,-3.80894398689270,2.60250616073608,-0.93083918094635,20.47751235961914,-47.75177764892578,3.00579881668091
18,508004940,100.98020935058594,63.76871109008789,-16.08415412902832,-3.25980925559998,2.52806639671326,-1.34316313266754,25.15159225463867,-48.98237991333008,1.96137678623199
19,508013273,100.40798950195312,63.79378128051758,-16.96592330932617,-3.01233386993408,2.75973296165466,-1.56280195713043,25.88082504272461,-45.53409576416016,3.18901824951172
20,508021606,99.87836456298828,63.60168457031250,-17.81464958190918,-3.41444706916809,3.06644153594971,-1.53379535675049,25.48946762084961,-46.49276733398438,7.32029724121094
21,508029939,99.39820098876953,63.34465789794922,-18.65320014953613,-3.84484910964966,3.04889225959778,-1.44416975975037,24.59000968933105,-53.23697280883789,12.22375297546387
22,508038272,98.53487396240234,63.27261352539062,-19.87882995605469,-4.04054737091064,2.79905390739441,-1.54362237453461,27.42711257934570,-62.95040512084961,16.30213546752930
23,508046605,97.59368133544922,63.17411422729492,-21.24713706970215,-4.09808826446533,2.85632181167603,-1.26881229877472,33.27112197875977,-70.62378692626953,19.54947090148926
24,508054938,96.97548675537109,62.87109375000000,-22.36783218383789,-4.21063137054443,2.90127992630005,-1.18813371658325,34.51156616210938,-73.09097290039062,20.59513664245605
25,508063271,96.36478424072266,62.59040069580078,-23.50306701660156,-4.29733848571777,2.86801099777222,-1.42028427124023,36.38343811035156,-74.90697479248047,20.14009094238281
26,508071604,95.44224548339844,62.47232437133789,-24.91680717468262,-4.29575347900391,3.07429599761963,-1.57891011238098,39.43953323364258,-75.42174530029297,19.60348510742188
27,508079937,94.53772735595703,62.34597396850586,-26.32996368408203,-4.50274848937988,3.26839923858643,-1.45084214210510,41.37567520141602,-75.96518707275391,19.40084075927734
28,508088270,94.06399536132812,62.06259155273438,-27.40649795532227,-4.81686639785767,3.38137245178223,-1.73686373233795,43.46533584594727,-76.52751922607422,19.93196296691895
29,508096603,93.63311004638672,61.76405715942383,-28.49346923828125,-5.28504371643066,4.00542545318604,-1.59257936477661,47.60760116577148,-79.95235443115234,21.33551025390625
30,508104936,92.70521545410156,61.60070419311523,-29.99636459350586,-5.65736865997314,4.40577507019043,-1.92421698570251,47.03506469726562,-83.37593078613281,21.75639152526855
31,508113269,91.72852325439453,61.43383789062500,-31.56395339965820,-5.91000890731812,4.71223831176758,-2.29639983177185,47.76224136352539,-87.90967559814453,20.94260597229004
32,508121602,91.26132202148438,61.12357711791992,-32.70443725585938,-6.06926727294922,4.90802192687988,-2.92852258682251,45.75318908691406,-88.53144836425781,18.32429504394531
33,508129935,90.99488067626953,60.80371093750000,-33.66358947753906,-6.41478347778320,5.40747690200806,-3.68876075744629,44.83721542358398,-85.98580932617188,15.54537105560303
34,508138268,90.15563964843750,60.67901229858398,-35.05806350708008,-7.02588653564453,6.21093416213989,-4.59458398818970,44.89888381958008,-80.67752075195312,13.23857402801514
35,508146601,89.31589508056641,60.53795623779297,-36.38432693481445,-7.95832538604736,7.26719951629639,-4.07236433029175,37.51678848266602,-77.22693634033203,14.02382183074951
36,508154934,89.41596984863281,60.20881652832031,-36.88493347167969,-8.32553577423096,6.64643096923828,-5.45350933074951,28.76880455017090,-74.87595367431641,11.15786933898926
37,508163267,89.83696746826172,59.87249755859375,-37.17223358154297,-8.86839485168457,7.07782125473022,-5.98383092880249,34.82410049438477,-74.68097686767578,7.31289482116699
38,508171600,89.15322875976562,59.81318283081055,-38.27476501464844,-9.24848651885986,8.18381214141846,-6.15934181213379,31.95024490356445,-65.57301330566406,3.96902084350586
39,508179933,88.43397521972656,59.76679229736328,-39.34443283081055,-9.97481250762939,8.11847019195557,-6.42368412017822,24.23138236999512,-63.73444366455078,1.65743982791901
40,508188266,89.17130279541016,59.50331115722656,-39.27998733520508,-9.91902542114258,7.67054080963135,-6.80838346481323,22.98928070068359,-69.34020996093750,-3.20919704437256
41,508196599,90.20242309570312,59.29008102416992,-38.97340774536133,-9.68446731567383,7.69564533233643,-6.73925638198853,22.40517997741699,-66.88632965087891,-9.86781215667725
42,508204932,89.50961303710938,59.40133666992188,-39.96529769897461,-9.50710773468018,7.65368747711182,-6.62485694885254,18.84701156616211,-59.70761489868164,-16.08108711242676
43,508213265,88.92625427246094,59.55135345458984,-40.85420608520508,-9.31903266906738,7.29715776443481,-7.50422239303589,21.48837852478027,-52.97282409667969,-21.29920196533203
44,508221598,90.50315093994141,59.46765899658203,-40.01671981811523,-9.26260471343994,7.96617937088013,-6.85818672180176,25.29777526855469,-44.34676361083984,-23.94850540161133
45,508229931,92.34413146972656,59.36812973022461,-38.89620590209961,-9.10608863830566,8.24670410156250,-6.83197498321533,21.28020858764648,-35.28931808471680,-25.31257820129395
46,508238264,92.10707092285156,59.56507492065430,-39.39228439331055,-9.12583732604980,9.11610126495361,-6.86887836456299,22.39306831359863,-30.20033836364746,-25.04410743713379
47,508246597,91.86064910888672,59.73303222656250,-39.84032440185547,-9.52376461029053,10.00154781341553,-6.02269077301025,16.41622352600098,-26.89923286437988,-21.77663612365723
48,508254930,93.81748199462891,59.53542709350586,-38.53874969482422,-9.55925369262695,9.27282714843750,-6.58571910858154,14.22558879852295,-29.29283332824707,-21.41619110107422
49,508263263,95.84325408935547,59.24340057373047,-37.17747497558594,-9.67624950408936,10.04210948944092,-6.51736307144165,18.17715072631836,-24.10783958435059,-21.89538192749023
50,508271596,95.84788513183594,59.41883468627930,-37.33188247680664,-9.98104667663574,10.09088420867920,-6.51364183425903,16.04698562622070,-10.61636638641357,-22.60076332092285
51,508279929,95.80245208740234,59.59502029418945,-37.49610900878906,-10.72744750976562,10.12100505828857,-5.93016481399536,11.09856414794922,-11.15026664733887,-22.61297798156738
52,508288262,97.87772369384766,59.22993850708008,-36.00088119506836,-10.80172538757324,9.28479099273682,-7.21180868148804,12.35814857482910,-15.42931079864502,-24.23418617248535
53,508296595,100.00193786621094,58.80799865722656,-34.42414474487305,-11.08855819702148,9.72911548614502,-7.44915342330933,12.07851505279541,-6.55279159545898,-24.21814727783203
54,508304928,100.19582366943359,58.95164489746094,-34.36964797973633,-11.57067489624023,10.60881614685059,-7.18853664398193,17.20944786071777,1.22682011127472,-20.20632553100586
55,508313261,100.26760864257812,59.14667892456055,-34.40526962280273,-11.52693939208984,9.00556278228760,-5.96641540527344,11.84145641326904,-5.38654947280884,-25.25440025329590
56,508321594,102.41477966308594,58.67772674560547,-32.86191558837891,-10.76021194458008,8.89414310455322,-6.38606500625610,19.38542175292969,-7.70248794555664,-24.44442939758301
57,508329927,104.46314239501953,58.21998596191406,-31.42062950134277,-10.98854064941406,8.60632133483887,-4.52096986770630,22.32022857666016,-7.54478311538696,-25.82668304443359
58,508338260,104.66900634765625,58.45218658447266,-31.45434570312500,-10.26666641235352,7.76968383789062,-4.20562458038330,27.67896270751953,-8.15085887908936,-29.09595298767090
59,508346593,104.87104797363281,58.63837051391602,-31.59672164916992,-10.71823596954346,8.91353034973145,-3.06990623474121,38.36821365356445,-13.39155769348145,-21.96575927734375
60,508354926,106.60368347167969,58.19281005859375,-30.61830329895020,-10.77229881286621,8.89616298675537,-0.38740468025208,40.21563339233398,-25.68419647216797,-18.37523460388184
